Title_amazon,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author_amazon,Number of Pages_amazon,Author_cleaned,source_URL,Readers Choice Votes,Readers Choice Category,Title_goodreads,Author_goodreads,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages_goodreads,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author,_merge
Wintering: The Power of Rest and Retreat in Difficult Times,1227,4.4,6043,9.99,Love & Loss,Riverhead Books,Riverhead Books,Katherine May,256.0,katherine may,,,,,,,,,,,,,,,,left_only
The Art of Seduction,1228,4.7,10478,14.0,Dating,Penguin Books,Penguin Books,Greene Robert,512.0,greene robert,,,,,,,,,,,,,,,,left_only
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,1228,4.6,28744,5.9,Creativity,CreateSpace Independent Publishing Platform,CALOTO,Pretty Simple Press,118.0,pretty simple press,,,,,,,,,,,,,,,,left_only
Good Boundaries and Goodbyes: Loving Others Without Losing the Best of Who You Are,1229,4.8,3429,6.99,Women's Issues,Thomas Nelson,HarperCollins Christian Pub.,Lysa TerKeurst,256.0,lysa terkeurst,,,,,,,,,,,,,,,,left_only
The Wisdom of the Bullfrog: Leadership Made Simple (But Not Easy),1230,4.8,1791,9.95,Motivational,Grand Central Publishing,,Admiral William H. McRaven,224.0,admiral william h. mcraven,,,,,,,,,,,,,,,,left_only
Elvis and Me: The True Story of the Love Between Priscilla Presley and the King of Rock N' Roll,1231,4.6,5320,7.73,Actors & Entertainers,Berkley,Berkley,Presley Priscilla,320.0,presley priscilla,,,,,,,,,,,,,,,,left_only
Crochet for Beginners: A Stitch Dictionary with Step-by-Step Illustrations and 10 Easy Projects,1231,4.5,635,12.12,Crocheting,Rockridge Press,,Arica Presinal,138.0,arica presinal,,,,,,,,,,,,,,,,left_only
Potty Training in 3 Days: The Step-by-Step Plan for a Clean Break from Dirty Diapers,1232,4.5,16510,5.09,Children's Health,Althea Press,Althea Press,Brandi Brucks,106.0,brandi brucks,,,,,,,,,,,,,,,,left_only
Mile High (Windy City Series Book 1),1233,4.4,41558,11.95,Contemporary,Independently published,CALOTO,Liz Tomforde,488.0,liz tomforde,https://www.goodreads.com/book/show/84943172-the-right-move?from_choice=true,36246.0,Romance,The Right Move,Liz Tomforde,4.45,"139,435","15,775",499.0,Kindle Edition,"RYANShe’s a distraction, that’s what she is. I’m the newest Captain of the Devils, Chicago’s NBA team, and the last thing I needed this year was for Indy Ivers, my sister’s best friend, to move into my apartment. She’s messy, emotional, and way too tempting.But when the team’s General Manager vocalizes his blatant disapproval of my promotion to Captain, referring to me as an unapproachable lone wolf with no work-life balance, I can’t think of a better way to convince him otherwise than pretending to date my outgoing roommate. The only problem? Faking it feels far too natural. Having a fake girlfriend wasn’t supposed to be messy but having Indy under my roof and in my bed is complicated, especially when she wants all the romantic parts of life that I could never give her. INDYI never imagined I’d be living with my best friend’s brother, NBA superstar Ryan Shay. Even more unbelievable? He needs me to act as his loving girlfriend who’s suddenly changed him into a friendly and approachable guy.Because, well…he’s not. He’s controlling of his space and untrusting of others. Our arrangement isn’t one-sided, though. I’m in a wedding coming up, one where every one of my childhood friends, including my ex-boyfriend, will be in attendance, and there’s no better date than my ex’s celebrity hero. Blurred lines make it almost impossible to separate real from fake. Falling for my roommate was never part of the deal, especially when Ryan is quick to remind me that he doesn’t believe in love. I’m a romantic and can’t help fantasizing that he’ll change, but soon enough, I find myself questioning if sharing a roof with my best friend’s brother was the right move after all",7-Feb-23,Kindle Unlimited $0.00,0.0,"Liz Tomforde writes sports romance novels that depict realistic and healthy relationships. Her books offer a mix of witty banter and real-life struggles. Her heroes are alpha yet vulnerable, and her heroines are strong. ​Born and raised in Northern California, Liz is the youngest of five children. She loves all things romance, traveling, dogs, and hockey.​When she's not traveling or writing, Liz can be found reading a good book or taking her Golden Retriever, Luke, on a hike in her hometown in Sonoma County, CA.",both
Berserk Deluxe Edition 7,1233,5.0,3937,31.49,Fantasy,Dark Horse Manga,Dark Horse Manga,Kentaro Miura,704.0,kentaro miura,,,,,,,,,,,,,,,,left_only
"Medical Medium Cleanse to Heal: Healing Plans for Sufferers of Anxiety, Depression, Acne, Eczema, Lyme, Gut Problems, Brain Fog, Weight Issues, Migraines, Bloating, Vertigo, Psoriasis",1234,4.7,20391,12.99,Healing,Hay House Inc.,Hay House Inc.,Anthony William,592.0,anthony william,,,,,,,,,,,,,,,,left_only
5-Ingredient Cooking for Two: 100+ Recipes Portioned for Pairs,1236,4.4,2842,11.19,Large Quantities,Rockridge Press,Rockridge Press,Robin Donovan,188.0,robin donovan,,,,,,,,,,,,,,,,left_only
"Hustle Harder, Hustle Smarter",1237,4.8,7590,10.27,Success,Amistad,Amistad Press,"Curtis ""50 Cent"" Jackson",304.0,"curtis ""50 cent"" jackson",,,,,,,,,,,,,,,,left_only
Napoleon: A Life,1238,4.6,3476,14.82,France,Penguin Books,Penguin Books,Andrew Roberts,976.0,andrew roberts,,,,,,,,,,,,,,,,left_only
The Modern Herbal Dispensatory: A Medicine-Making Guide,1240,4.8,8560,14.5,Herbal Remedies,North Atlantic Books,North Atlantic Books,Thomas Easley,376.0,thomas easley,,,,,,,,,,,,,,,,left_only
DK Encyclopedia of Herbal Medicine: 550 Herbs Loose Leaves and Remedies for Common Ailments,1242,4.8,14013,24.98,Herbal Remedies,DK,DK,Andrew Chevallier,336.0,andrew chevallier,,,,,,,,,,,,,,,,left_only
The Count of Monte Cristo (Penguin Classics),1245,4.8,3550,5.98,Classics,Penguin Classics,Penguin Classics,père Alexandre,1276.0,père alexandre,,,,,,,,,,,,,,,,left_only
Squirrel's New Year's Resolution,1246,4.8,971,7.64,Animals,Albert Whitman & Company,Albert Whitman & Company,Pat Miller,32.0,pat miller,,,,,,,,,,,,,,,,left_only
What Do You Do With an Idea? — New York Times best seller,1247,4.8,5746,9.39,Self-Esteem & Self-Respect,Compendium,Compendium Publishing & Communications,Kobi Yamada,36.0,kobi yamada,,,,,,,,,,,,,,,,left_only
How to Win Friends and Influence People,1248,4.6,86386,7.4,Self-Help,Manjul Publishing House,imusti,Carnegie Dale,242.0,carnegie dale,,,,,,,,,,,,,,,,left_only
"Padre Rico, Padre Pobre (Edición 25 Aniversario) / Rich Dad Poor Dad (Spanish Edition)",1249,4.8,9228,12.74,Budgeting & Money Management,Aguilar,TenderTouches,Robert T. Kiyosaki,320.0,robert t. kiyosaki,,,,,,,,,,,,,,,,left_only
Cajun Night Before Christmas 50th Anniversary Edition,1250,4.8,197,15.61,Stories In Verse,Pelican Publishing,,Trosclair Trosclair,56.0,trosclair trosclair,,,,,,,,,,,,,,,,left_only
The Art of War,1251,4.7,4902,6.59,Leadership & Motivation,Ixia Press,Ixia Press,Tzu Sun,96.0,tzu sun,,,,,,,,,,,,,,,,left_only
"Meals She Eats: Empowering Advice, Relatable Stories, and Over 25 Recipes to Take Control of Your PCOS",1251,4.7,1483,15.56,Sex,DK,,Tom Sullivan,192.0,tom sullivan,,,,,,,,,,,,,,,,left_only
"Bluey and Bingo's Fancy Restaurant Cookbook: Yummy Recipes, for Real Life",1253,4.7,726,9.71,Dogs,Penguin Young Readers Licenses,,Licenses Penguin,32.0,licenses penguin,,,,,,,,,,,,,,,,left_only
"Neon Gods: A Scorchingly Hot Modern Retelling of Hades and Persephone (Dark Olympus, 1)",1253,4.3,18762,5.09,Action & Adventure,Sourcebooks Casablanca,Sourcebooks Casablanca,Katee Robert,384.0,katee robert,,,,,,,,,,,,,,,,left_only
Without Merit: A Novel,1254,4.3,15957,6.5,Family Life,Atria Books,Atria Books,Colleen Hoover,384.0,colleen hoover,,,,,,,,,,,,,,,,left_only
101 Incredible Patterns | An Easy Mindfulness Coloring Book for Adults for Relaxation and Stress Relief | Easy Adult Coloring Book (Incredible ... for Adults for Relaxation and Stress Relief),1255,4.3,563,8.42,Personal Transformation,Independently published,,Madison Taylor,208.0,madison taylor,,,,,,,,,,,,,,,,left_only
"KJV Holy Bible, Super Giant Print Faux Leather Red Letter Edition - Thumb Index & Ribbon Marker, King James Version, Burgundy",1256,4.8,9099,30.0,Bibles,Christian Art Publishers,Christian Art Gifts,Publishers Christian,1806.0,publishers christian,,,,,,,,,,,,,,,,left_only
All by Myself (Little Critter) (Look-Look),1257,4.8,8056,4.29,Animals,Random House Books for Young Readers,Random House Books for Young Readers,Mercer Mayer,24.0,mercer mayer,,,,,,,,,,,,,,,,left_only
Harley-Davidson 2024: 16-Month 12x12 Wall Calendar - September 2023 through December 2024,1258,4.7,60,9.99,History,Motorbooks,,Motorbooks Editors,24.0,motorbooks editors,,,,,,,,,,,,,,,,left_only
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1259,4.7,29564,4.18,Interpersonal Relations,Avery,Avery,Brené Brown,320.0,brené brown,,,,,,,,,,,,,,,,left_only
Call It Home: The Details That Matter,1261,4.5,91,22.04,Interior Design,Clarkson Potter,,Amber Lewis,288.0,amber lewis,,,,,,,,,,,,,,,,left_only
"Virgin Suicides (Picador Modern Classics, 2)",1262,4.4,8149,8.09,TV,Picador Paper,Picador,Jeffrey Eugenides,269.0,jeffrey eugenides,,,,,,,,,,,,,,,,left_only
Discourses and Selected Writings (Penguin Classics),1263,4.8,2665,9.35,Greece,Penguin Classics,Penguin Classics,Epictetus Epictetus,304.0,epictetus epictetus,,,,,,,,,,,,,,,,left_only
"Would You Rather? Family Challenge! Edition: Hilarious Scenarios & Crazy Competition for Kids, Teens, and Adults",1264,4.5,1036,5.09,Multigenerational,Zeitgeist,,Lindsey Daly,128.0,lindsey daly,,,,,,,,,,,,,,,,left_only
The Night Before Christmas (Little Golden Book),1265,4.8,9955,2.99,Stories In Verse,Golden Books,Golden Books,Moore Clement,24.0,moore clement,,,,,,,,,,,,,,,,left_only
Fantasy Fairy Homes: An Adult Coloring Book Full of Whimsical Black Line and Grayscale Images (Fantasy Fairy Homes ™ - A Coloring Book Series of Fairytale Architecture),1266,4.2,1077,9.4,Animals,Independently published,,Clair Essa Publishing,88.0,clair essa publishing,,,,,,,,,,,,,,,,left_only
Little Blue Truck Makes a Friend: A Friendship Book for Kids,1267,4.8,1545,9.34,Farm Animals,Clarion Books,,Alice Schertle,40.0,alice schertle,,,,,,,,,,,,,,,,left_only
"Cooking con Claudia: 100 Authentic, Family-Style Mexican Recipes",1269,4.9,334,22.49,Mexican,DK,,Claudia Regalado,240.0,claudia regalado,,,,,,,,,,,,,,,,left_only
Can't Hurt Me: Master Your Mind and Defy the Odds,1272,4.8,92572,26.09,Health,Lioncrest Publishing,ArtWorld,Goggins David,364.0,goggins david,,,,,,,,,,,,,,,,left_only
Bookshops & Bonedust (Legends & Lattes),1273,4.6,1953,12.07,Fantasy,Tor Trade,,Travis Baldree,352.0,travis baldree,https://www.goodreads.com/book/show/65213543-bookshops-bonedust?from_choice=true,38157.0,Fantasy,Bookshops & Bonedust,Travis  Baldree,4.3,"17,800","4,063",352.0,Paperback,"When an injury throws a young, battle-hungry orc off her chosen path, she may find that what we need isn't always what we seek. In Bookshops & Bonedust, a prequel to Legends & Lattes, New York Times bestselling author Travis Baldree takes us on a journey of high fantasy, first loves, and second-hand books. Viv's career with the notorious mercenary company Rackam's Ravens isn't going as planned.Wounded during the hunt for a powerful necromancer, she's packed off against her will to recuperate in the sleepy beach town of Murk—so far from the action that she worries she'll never be able to return to it.What's a thwarted soldier of fortune to do?Spending her hours at a beleaguered bookshop in the company of its foul-mouthed proprietor is the last thing Viv would have predicted, but it may be both exactly what she needs and the seed of changes she couldn't possibly imagine.Still, adventure isn't all that far away. A suspicious traveler in gray, a gnome with a chip on her shoulder, a summer fling, and an improbable number of skeletons prove Murk to be more eventful than Viv could have ever expected.",7-Nov-23,Kindle $12.99,12.99,"New York Times Bestselling Author of Legends & Lattes. Audiobook narrator. Erstwhile game developer. Made Fate, Torchlight & Rebel Galaxy.",both
$100M Offers: How To Make Offers So Good People Feel Stupid Saying No (Acquisition.com $100M Series),1273,4.9,19844,26.95,Advertising,Acquisition.com Publishing,Altapolo,Alex Hormozi,162.0,alex hormozi,,,,,,,,,,,,,,,,left_only
"The Queen of Nothing (The Folk of the Air, 3)",1274,4.6,35867,9.49,Fantasy,"Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Holly Black,336.0,holly black,https://www.goodreads.com/book/show/61198133-the-stolen-heir?from_choice=true,52089.0,Young Adult Fantasy & Science Fiction,The Stolen Heir,Holly Black,4.02,"76,992","14,355",356.0,Hardcover,"A runaway queen. A reluctant prince. And a quest that may destroy them both. Eight years have passed since the Battle of the Serpent. But in the icy north, Lady Nore of the Court of Teeth has reclaimed the Ice Needle Citadel. There, she is using an ancient relic to create monsters of stick and snow who will do her bidding and exact her revenge. Suren, child queen of the Court of Teeth, and the one person with power over her mother, fled to the human world. There, she lives feral in the woods. Lonely, and still haunted by the merciless torments she endured in the Court of Teeth, she bides her time by releasing mortals from foolish bargains. She believes herself forgotten until the storm hag, Bogdana chases her through the night streets. Suren is saved by none other than Prince Oak, heir to Elfhame, to whom she was once promised in marriage and who she has resented for years.  Now seventeen, Oak is charming, beautiful, and manipulative. He’s on a mission that will lead him into the north, and he wants Suren’s help. But if she agrees, it will mean guarding her heart against the boy she once knew and a prince she cannot trust, as well as confronting all the horrors she thought she left behind.#1 New York Times bestselling author Holly Black returns to the opulent world of Elfhame in the first book in a thrilling new duology, following Jude's brother Oak, and the changeling queen, Suren.",3-Jan-23,Kindle $12.99,12.99,"Holly Black is the #1 New York Times bestselling author of over thirty fantasy novels for kids and teens. She has been a finalist for an Eisner Award and the Lodestar Award, and the recipient of the Mythopoeic Award, a Nebula, and a Newbery Honor. Her books have been translated into 32 languages worldwide and adapted for film. She currently lives in New England with her husband and son in a house with a secret library.",both
"Raising Good Humans: A Mindful Guide to Breaking the Cycle of Reactive Parenting and Raising Kind, Confident Kids",1274,4.7,4713,9.6,Conflict Management,New Harbinger Publications,New Harbinger Publications,Hunter Clarke-Fields MSAE,184.0,hunter clarke-fields msae,,,,,,,,,,,,,,,,left_only
"A Touch of Darkness (Hades x Persephone Saga, 1)",1275,4.4,28622,9.99,Romantic,Bloom Books,,Scarlett St. Clair,400.0,scarlett st. clair,https://www.goodreads.com/book/show/56587784-a-game-of-gods?from_choice=true,3619.0,Romantasy,A Game of Gods,Scarlett St.  Clair,4.07,"7,547",677,592.0,Hardcover,"Told in multiple POVs, A Game of Gods is the final installment in the Hades Saga by USA Today Bestselling author Scarlett St. Clair.Hades, God of the Dead, has finally made Persephone his in every way possible. With their wedding on the horizon, the couple should be ecstatic. But Demeter is wreaking havoc on their bliss by battering the whole of New Greece with erratic and dangerous weather. At the same time, Theseus continues with his agenda against the Gods, allying with the hate-group Triad in an effort to bring down all of Olympus.Hades refuses to allow anything to stop him from securing Persephone as his bride, but he must play a deep strategic game with the Gods of Olympus to safeguard their future. And it is not entirely clear which Gods are truly on his side.",25-Jul-23,Kindle Unlimited $0.00,0.0,"International and USA Today Best Selling author Scarlett St. Clair is a citizen of the Muscogee Nation and the author of the HADES X PERSEPHONE SAGA, the HADES SAGA, KING OF BATTLE & BLOOD, and WHEN STARS COME OUT.She has a Master's degree in Library Science and Information Studies and a Bachelors in English Writing. She is obsessed with Greek Mythology, murder mysteries, and the afterlife. If you are obsessed with these things, then you'll like her books. You can find pictures of her adorable dog Adelaide on her Instagram at @authorscarlettstclair.",both
Preteen Devotional for Girls: 52 Weeks of Encouraging Devotions and Scripture for Tweens,1276,4.8,1473,9.57,Inspirational,Zeitgeist Young Adult,,Brittany Rust,128.0,brittany rust,,,,,,,,,,,,,,,,left_only
The Complete America’s Test Kitchen TV Show Cookbook 2001–2024: Every Recipe from the Hit TV Show Along with Product Ratings Includes the 2024 Season,1276,4.4,48,36.66,Cooking Methods,America's Test Kitchen,,Kitchen America's,1280.0,kitchen america's,,,,,,,,,,,,,,,,left_only
Green Eggs and Ham,1277,4.9,25148,3.99,Stories In Verse,Beginner Books/Random House,Random House Books for Young Readers,Seuss Dr,65.0,seuss dr,,,,,,,,,,,,,,,,left_only
Laugh-Out-Loud Jokes for Kids,1277,4.6,11844,2.77,Humorous,Revell,Fleming H. Revell Company,Elliott Rob,128.0,elliott rob,,,,,,,,,,,,,,,,left_only
Inward (The Inward Trilogy),1278,4.8,9016,8.0,Emotions,Andrews McMeel Publishing,Andrews McMeel Publishing,yung pueblo,240.0,yung pueblo,,,,,,,,,,,,,,,,left_only
The Fair Play Deck: A Couple's Conversation Deck for Prioritizing What's Important,1278,4.4,1310,14.0,Marriage,Clarkson Potter,Clarkson Potter,Eve Rodsky,102.0,eve rodsky,,,,,,,,,,,,,,,,left_only
Sushi Cookbook for Beginners: 100 Step-By-Step Recipes to Make Sushi at Home,1280,4.7,2832,11.41,Japanese,Rockridge Press,Rockridge Press,Chika Ravitch,192.0,chika ravitch,,,,,,,,,,,,,,,,left_only
A Soul of Ash and Blood: A Blood and Ash Novel (Blood And Ash Series),1281,4.3,12808,16.64,Vampires,Blue Box Press,Kindle Direct Publishing,Jennifer L. Armentrout,634.0,jennifer l. armentrout,https://www.goodreads.com/book/show/63847274-a-soul-of-ash-and-blood?from_choice=true,16747.0,Romantasy,A Soul of Ash and Blood,Jennifer L. Armentrout,3.97,"49,632","5,866",703.0,Kindle Edition,"Only his memories can save her…A great primal power has risen. The Queen of Flesh and Fire has become the Primal of Blood and Bone—the true Primal of Life and Death. And the battle Casteel, Poppy, and their allies have been fighting has only just begun. Gods are awakening across Iliseeum and the mortal realm, readying for the war to come.But when Poppy falls into stasis, Cas faces the very real possibility that the dire, unexpected consequences of what she is becoming could take her away from him. Cas is given some advice, though—something he plans to cling to as he waits to see her beautiful eyes open once more: Talk to her.And so, he does. He reminds Poppy how their journey began, revealing things about himself that only Kieran knows in the process. But it’s anybody’s guess what she’ll wake to or exactly how much of the realm and Cas will have changed when she does.#1 New York Times bestselling author Jennifer L. Armentrout revisits Poppy and Casteel’s epic love story in the next installment of the Blood and Ash series. But this time, Hawke gets to tell the tale.",18-Jul-23,Kindle $7.99,7.99,"Hey Guys! Please note: I don't send out ARCs for review. If you're interested in reviewing a book of mine before release date, please contact the appropriate publisher. I also do NOT check my Goodreads email.To email me, please use the below addy. jenniferlarmentrout@live.com# 1 New York Times and # 1 International Bestselling author Jennifer lives in Charles Town, West Virginia. All the rumors you’ve heard about her state aren’t true. When she’s not hard at work writing. she spends her time reading, watching really bad zombie movies, pretending to write, hanging out with her husband and her Jack Russell Loki. In early 2015, Jennifer was diagnosed with retinitis pigmentosa, a group of rare genetic disorders that involve a breakdown and death of cells in the retina, eventually resulting in loss of vision, among other complications. Due to this diagnosis, educating people on the varying degrees of blindness has become of passion of hers, right alongside writing, which she plans to do as long as she can. Her dreams of becoming an author started in algebra class, where she spent most of her time writing short stories….which explains her dismal grades in math. Jennifer writes young adult paranormal, science fiction, fantasy, and contemporary romance. She is published with Tor, HarperCollins Avon and William Morrow, Entangled Teen and Brazen, Disney/Hyperion and Harlequin Teen. Her Wicked Series has been optioned by PassionFlix. Jennifer has won numerous awards, including the 2013 Reviewers Choice Award for Wait for You, the 2015 Editor’s Pick for Fall With Me, and the 2014/2015 Moerser-Jugendbuch- Jury award for Obsidian. Her young adult romantic suspense novel DON’T LOOK BACK was a 2014 nominated Best in Young Adult Fiction by YALSA. Her adult romantic suspense novel TILL DEATH was a Amazon Editor’s Pick and iBook Book of the Month. Her young adult contemporary THE PROBLEM WITH FOREVER is a 2017 RITA Award Winner in Young Adult Fiction. She also writes Adult and New Adult contemporary and paranormal romance under the name J. Lynn. She is published by Entangled Brazen and HarperCollins.She is the owner of ApollyCon and The Origin Event, the successful annual events that features over hundred bestselling authors in Young Adult, New Adult, and Adult Fiction, panels, parties, and more.",both
A Soul of Ash and Blood: A Blood and Ash Novel (Blood And Ash Series),1281,4.3,12808,16.64,Vampires,Blue Box Press,Kindle Direct Publishing,Jennifer L. Armentrout,634.0,jennifer l. armentrout,https://www.goodreads.com/book/show/61150440-a-fire-in-the-flesh?from_choice=true,10128.0,Romantasy,A Fire in the Flesh,Jennifer L. Armentrout,4.11,"26,110","2,914",632.0,Kindle Edition,"The only thing that can save the realms now is the one thing more powerful than the Fates. After a startling betrayal ends with both Sera and the dangerously seductive ruler of the Shadowlands she has fallen madly in love with being held captive by the false King of the Gods, there is only one thing that can free Nyktos and prevent the forces of the Shadowlands from invading Dalos and igniting a War of Primals. Convincing Kolis won’t be easy, though – not even with a lifetime of training. While his most favored Revenant is insistent that she is nothing more than a lie, Kolis’s erratic nature and twisted sense of honor leave her shaken to the core, and nothing could’ve prepared her for the cruelty of his Court or the shocking truths revealed. The revelations not only upend what she has understood about her duty and the very creation of the realms but also draw into question exactly what the true threat is. However, surviving Kolis is only one part of the battle. The Ascension is upon her, and Sera is out of time. But Nyktos will do anything to keep Sera alive and give her the life she deserves. He’ll even risk the utter destruction of the realms, and that’s exactly what will happen if he doesn’t Ascend as the Primal of Life. Yet despite his desperate determination, their destinies may be out of their hands. But there is that foreseen unexpected thread—the unpredictable, unknown, and unwritten. The only thing more powerful than the Fates…",31-Oct-23,Kindle $7.99,7.99,"Hey Guys! Please note: I don't send out ARCs for review. If you're interested in reviewing a book of mine before release date, please contact the appropriate publisher. I also do NOT check my Goodreads email.To email me, please use the below addy. jenniferlarmentrout@live.com# 1 New York Times and # 1 International Bestselling author Jennifer lives in Charles Town, West Virginia. All the rumors you’ve heard about her state aren’t true. When she’s not hard at work writing. she spends her time reading, watching really bad zombie movies, pretending to write, hanging out with her husband and her Jack Russell Loki. In early 2015, Jennifer was diagnosed with retinitis pigmentosa, a group of rare genetic disorders that involve a breakdown and death of cells in the retina, eventually resulting in loss of vision, among other complications. Due to this diagnosis, educating people on the varying degrees of blindness has become of passion of hers, right alongside writing, which she plans to do as long as she can. Her dreams of becoming an author started in algebra class, where she spent most of her time writing short stories….which explains her dismal grades in math. Jennifer writes young adult paranormal, science fiction, fantasy, and contemporary romance. She is published with Tor, HarperCollins Avon and William Morrow, Entangled Teen and Brazen, Disney/Hyperion and Harlequin Teen. Her Wicked Series has been optioned by PassionFlix. Jennifer has won numerous awards, including the 2013 Reviewers Choice Award for Wait for You, the 2015 Editor’s Pick for Fall With Me, and the 2014/2015 Moerser-Jugendbuch- Jury award for Obsidian. Her young adult romantic suspense novel DON’T LOOK BACK was a 2014 nominated Best in Young Adult Fiction by YALSA. Her adult romantic suspense novel TILL DEATH was a Amazon Editor’s Pick and iBook Book of the Month. Her young adult contemporary THE PROBLEM WITH FOREVER is a 2017 RITA Award Winner in Young Adult Fiction. She also writes Adult and New Adult contemporary and paranormal romance under the name J. Lynn. She is published by Entangled Brazen and HarperCollins.She is the owner of ApollyCon and The Origin Event, the successful annual events that features over hundred bestselling authors in Young Adult, New Adult, and Adult Fiction, panels, parties, and more.",both
A Soul of Ash and Blood: A Blood and Ash Novel (Blood And Ash Series),1281,4.3,12808,16.64,Vampires,Blue Box Press,Kindle Direct Publishing,Jennifer L. Armentrout,634.0,jennifer l. armentrout,https://www.goodreads.com/book/show/65214365-fall-of-ruin-and-wrath?from_choice=true,2591.0,Romantasy,Fall of Ruin and Wrath,Jennifer L. Armentrout,4.06,"25,759","3,713",416.0,Hardcover,"SHE LIVES BY HER INTUITION. HE FEEDS ON HER PLEASURE.Long ago, the world was destroyed by gods. Only nine cities were spared. Separated by vast wilderness teeming with monsters and unimaginable dangers, each city is now ruled by a guardian―royalty who feed on mortal pleasure.Born with an intuition that never fails, Calista knows her talents are of great value to the power-hungry of the world, so she lives hidden as a courtesan of the Baron of Archwood. In exchange for his protection, she grants him information.When her intuition leads her to save a traveling prince in dire trouble, the voice inside her blazes with warning―and promise. Today he’ll bring her joy. One day he'll be her doom.When the Baron takes an interest in the traveling prince and the prince takes an interest in Calista, she becomes the prince’s temporary companion. But the city simmers with rebellion, and with knights and monsters at her city gates and a hungry prince in her bed, intuition may not be enough to keep her safe.Calista must follow her intuition to safety or follow her heart to her downfall.",12-Sep-23,Kindle $14.99,14.99,"Hey Guys! Please note: I don't send out ARCs for review. If you're interested in reviewing a book of mine before release date, please contact the appropriate publisher. I also do NOT check my Goodreads email.To email me, please use the below addy. jenniferlarmentrout@live.com# 1 New York Times and # 1 International Bestselling author Jennifer lives in Charles Town, West Virginia. All the rumors you’ve heard about her state aren’t true. When she’s not hard at work writing. she spends her time reading, watching really bad zombie movies, pretending to write, hanging out with her husband and her Jack Russell Loki. In early 2015, Jennifer was diagnosed with retinitis pigmentosa, a group of rare genetic disorders that involve a breakdown and death of cells in the retina, eventually resulting in loss of vision, among other complications. Due to this diagnosis, educating people on the varying degrees of blindness has become of passion of hers, right alongside writing, which she plans to do as long as she can. Her dreams of becoming an author started in algebra class, where she spent most of her time writing short stories….which explains her dismal grades in math. Jennifer writes young adult paranormal, science fiction, fantasy, and contemporary romance. She is published with Tor, HarperCollins Avon and William Morrow, Entangled Teen and Brazen, Disney/Hyperion and Harlequin Teen. Her Wicked Series has been optioned by PassionFlix. Jennifer has won numerous awards, including the 2013 Reviewers Choice Award for Wait for You, the 2015 Editor’s Pick for Fall With Me, and the 2014/2015 Moerser-Jugendbuch- Jury award for Obsidian. Her young adult romantic suspense novel DON’T LOOK BACK was a 2014 nominated Best in Young Adult Fiction by YALSA. Her adult romantic suspense novel TILL DEATH was a Amazon Editor’s Pick and iBook Book of the Month. Her young adult contemporary THE PROBLEM WITH FOREVER is a 2017 RITA Award Winner in Young Adult Fiction. She also writes Adult and New Adult contemporary and paranormal romance under the name J. Lynn. She is published by Entangled Brazen and HarperCollins.She is the owner of ApollyCon and The Origin Event, the successful annual events that features over hundred bestselling authors in Young Adult, New Adult, and Adult Fiction, panels, parties, and more.",both
The Best Christmas Pageant Ever: A Christmas Holiday Book for Kids (The Best Ever),1281,4.7,5173,7.3,Classics,HarperCollins,HarperCollins,Robinson Barbara,128.0,robinson barbara,,,,,,,,,,,,,,,,left_only
Say You Swear : Alternate Cover Edition,1283,4.7,968,17.03,Contemporary,Independently published,UrGod,Meagan Brandy,550.0,meagan brandy,,,,,,,,,,,,,,,,left_only
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,1284,4.9,783,13.73,Genre Fiction,Seven Seas,LINGKU,Xiu Mo,404.0,xiu mo,,,,,,,,,,,,,,,,left_only
"A Year of True Crime Page-A-Day Calendar 2024: Poisonings, Con Artists, Incredible Survivors!",1285,4.8,21,12.74,True Crime,Workman Publishing Company,Workman Publishing,Calendars Workman,640.0,calendars workman,,,,,,,,,,,,,,,,left_only
What If?: An Intellectual Gift,1287,4.6,30005,9.95,Comic Strips,Dey Street Books,Houghton Mifflin,Randall Munroe,352.0,randall munroe,,,,,,,,,,,,,,,,left_only
The Cafe on the Edge of the World: A Story About the Meaning of Life,1287,4.2,7351,7.4,Happiness,Aspen Light Publishing,,Strelecky John,136.0,strelecky john,,,,,,,,,,,,,,,,left_only
"Dad, I Want to Hear Your Story: A Father’s Guided Journal To Share His Life & His Love (Hear Your Story Books)",1288,4.7,5217,10.11,Guided Journals,Independently published,KAVNLON,Jeffrey Mason,106.0,jeffrey mason,,,,,,,,,,,,,,,,left_only
"Peek-a Who? (Lift the Flap Books, Interactive Books for Kids, Interactive Read Aloud Books)",1289,4.8,11609,3.52,Games,Chronicle Books,Chronicle Books,Nina Laden,10.0,nina laden,,,,,,,,,,,,,,,,left_only
The Iliad & the Odyssey (Deluxe Hardbound Edition),1290,4.7,3297,22.0,Classics,Fingerprint! Publishing,,Homer Homer,768.0,homer homer,,,,,,,,,,,,,,,,left_only
